url,sku_id,价格,品牌,商品名,厂家,通用名,规格,批准文号,剂型
https://item.jd.com/100017966059.html,1.00018E+11,178,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%（10ml：0.5g）10ml*6瓶,国药准字H20010714,酊剂
https://item.jd.com/100006214111.html,1.00006E+11,169,万艾可,万艾可枸橼酸西地那非片50mg*5片,辉瑞制药有限公司,枸橼酸西地那非片,50mg*5片,国药准字H20020527,片剂
https://item.jd.com/3452040.html,3452040,89.9,万艾可,万艾可枸橼酸西地那非片 0.1g*1片,辉瑞制药有限公司,枸橼酸西地那非片,0.1g*1片,国药准字H20020528,片剂
https://item.jd.com/100025700074.html,1.00026E+11,405,保法止,保法止非那雄胺片,AIAC International Pharma LLC/分包装杭州默沙东制药有限公司,非那雄胺片,1mg*7片*4板*3盒,国药准字J20150142（H20160325，H20160326）。,片剂
https://item.jd.com/3172873.html,3172873,145,保法止,保法止保法止 非那雄胺片 1mg*28片,AIAC International Pharma LLC/分包装厂：杭州默沙东制药有限公司,非那雄胺片,1mg*28片,国药准字J20150142（H20160325，H20160326）。,片剂
https://item.jd.com/3682456.html,3682456,32,大扶康,大扶康 氟康唑胶囊 0.15g*1粒,辉瑞制药有限公司,氟康唑胶囊,0.15g*1粒,国药准字H10960164,胶囊剂
https://item.jd.com/2859459.html,2859459,650,同溢堂,同溢堂益安宁丸,同溢堂药业有限公司,益安宁丸,112丸*3瓶,国药准字Z20063087,丸剂
https://item.jd.com/100025194928.html,1.00025E+11,2040,同溢堂,同溢堂益安宁丸,同溢堂药业有限公司,益安宁丸,112丸*3瓶*3盒,国药准字Z20063087,丸剂
https://item.jd.com/3470532.html,3470532,489,希爱力,希爱力他达拉非片 5mg*28片,Lilly del Caribe Inc./包装厂Lilly.S.A,他达拉非片,5mg*28片,H20170022,片剂
https://item.jd.com/4640893.html,4640893,339,希爱力,希爱力他达拉非片,Lilly del Caribe Inc./包装厂Lilly.S.A,他达拉非片,5mg*14片,H20170022,片剂
https://item.jd.com/3583910.html,3583910,860,同仁堂,同仁堂同仁堂 安宫牛黄丸 （股份）铁盒金衣3g*1丸,北京同仁堂股份有限公司同仁堂制药厂,安宫牛黄丸,3g*1丸,国药准字Z11020076,丸剂
https://item.jd.com/3029900.html,3029900,353,东阿阿胶,东阿阿胶20ml*48支,东阿阿胶股份有限公司,复方阿胶浆,20ml*48支,国药准字Z20083345,合剂
https://item.jd.com/7675380.html,7675380,169,东阿阿胶,东阿阿胶复方阿胶浆20ml*24支,东阿阿胶股份有限公司,复方阿胶浆,20ml*24支,国药准字Z20083345,合剂
https://item.jd.com/5672234.html,5672234,706,东阿阿胶,东阿阿胶复方阿胶浆20ml*48支*2盒,东阿阿胶股份有限公司,复方阿胶浆,20ml*48支*2盒,国药准字Z20083345,合剂
https://item.jd.com/100015401524.html,1.00015E+11,85,东阿阿胶,东阿阿胶复方阿胶浆,东阿阿胶股份有限公司,复方阿胶浆,20ml*12支,国药准字Z20083345,合剂
https://item.jd.com/100023699506.html,1.00024E+11,1402,东阿阿胶,东阿阿胶复方阿胶浆,东阿阿胶股份有限公司,复方阿胶浆,20ml*24支*8盒装,国药准字Z20083345,合剂
https://item.jd.com/100036283303.html,1.00036E+11,180,雷诺考特,雷诺考特布地奈德鼻喷雾剂,McNeil AB,布地奈德鼻喷雾剂,64ug/喷*120喷*2,H20171311,喷雾剂
https://item.jd.com/100035209323.html,1.00035E+11,68.9,雷诺考特,雷诺考特布地奈德鼻喷雾剂,McNeil AB,布地奈德鼻喷雾剂,32ug/喷*120喷,H20171309,喷雾剂
https://item.jd.com/100035489673.html,1.00035E+11,90,雷诺考特,雷诺考特布地奈德鼻喷雾剂,McNeil AB,布地奈德鼻喷雾剂,64ug/喷*120喷,H20171311,喷雾剂
https://item.jd.com/100035214701.html,1.00035E+11,136,雷诺考特,雷诺考特布地奈德鼻喷雾剂,McNeil AB,布地奈德鼻喷雾剂,32ug/喷*120喷*2,H20171309,喷雾剂
https://item.jd.com/6254326.html,6254326,38.9,息斯敏,息斯敏氯雷他定片 西安杨森 10mg*12片,西安杨森制药有限公司,氯雷他定片,10mg*6片*2板,国药准字H20070030,片剂
https://item.jd.com/2943752.html,2943752,29.9,息斯敏,息斯敏6片,西安杨森制药有限公司,氯雷他定片,10mg*6片,国药准字H20070030,片剂
https://item.jd.com/3120837.html,3120837,39,开瑞坦,开瑞坦氯雷他定片,拜耳医药保健有限公司启东分公司,氯雷他定片,10mg*6片*2板,国药准字H10970410,片剂
https://item.jd.com/100020083188.html,1.0002E+11,88,同仁堂（TRT）,同仁堂加味逍遥丸,北京同仁堂科技发展股份有限公司制药厂,加味逍遥丸,6g*10袋/盒*6盒,国药准字Z11020248,丸剂
https://item.jd.com/2943800.html,2943800,25,同仁堂（TRT）,同仁堂6g*10袋,北京同仁堂科技发展股份有限公司制药厂,加味逍遥丸,6g*10袋,国药准字Z11020248,丸剂
https://item.jd.com/100010055142.html,1.0001E+11,148,楚甲,楚甲盐酸阿莫罗芬搽剂,江苏福邦药业有限公司,盐酸阿莫罗芬搽剂,5%*1.5ml,国药准字H20123162,搽剂
https://item.jd.com/100005626079.html,1.00006E+11,218,楚甲,楚甲盐酸阿莫罗芬搽剂,江苏福邦药业有限公司,盐酸阿莫罗芬搽剂,5%*2.5ml,国药准字H20123162,搽剂
https://item.jd.com/100036638531.html,1.00037E+11,108,楚甲,楚甲盐酸阿莫罗芬搽剂,江苏福邦药业有限公司,盐酸阿莫罗芬搽剂,5%*1.0ml/瓶/盒,国药准字H20123162,搽剂
https://item.jd.com/100000545752.html,1.00001E+11,198,楚甲,楚甲盐酸阿莫罗芬捈剂 2.0ml*1瓶/盒,江苏福邦药业有限公司,盐酸阿莫罗芬搽剂,5%*2.0ml*1瓶,国药准字H20123162,搽剂
https://item.jd.com/100011157641.html,1.00011E+11,285,优思明,优思明屈螺酮炔雌醇片,Bayer Weimar GmbH&Co.KG /包装厂 Bayer AG/分包装拜耳医药保健有限公司广州分公司,屈螺酮炔雌醇片,0.03mg：3mg*21/盒*3盒,国药准字J20171071（H20170316 ）,片剂
https://item.jd.com/4296442.html,4296442,105,优思明,优思明屈螺酮炔雌醇片,Bayer Weimar GmbH&Co.KG /包装厂 Bayer AG/分包装拜耳医药保健有限公司广州分公司,屈螺酮炔雌醇片,0.03mg：3mg*21片/盒,国药准字J20171071(H20170316),片剂
https://item.jd.com/100026601244.html,1.00027E+11,576,优思明,优思明屈螺酮炔雌醇片,Bayer Weimar GmbH&Co.KG /包装厂 Bayer AG/分包装拜耳医药保健有限公司广州分公司,屈螺酮炔雌醇片,0.03mg：3mg*21片*6盒,国药准字J20171071（H20170316）,片剂
https://item.jd.com/5633097.html,5633097,96,敖东,敖东安神补脑液,吉林敖东延边药业股份有限公司,安神补脑液,10毫升*40支,国药准字Z22022453,合剂
https://item.jd.com/100015260269.html,1.00015E+11,148,同仁堂（TRT）,同仁堂五子衍宗丸,北京同仁堂股份有限公司同仁堂制药厂,五子衍宗丸,60g*6盒,国药准字Z11020188,丸剂
https://item.jd.com/2943748.html,2943748,25,同仁堂（TRT）,同仁堂60g*1瓶/盒,北京同仁堂股份有限公司同仁堂制药厂,五子衍宗丸,60g*1瓶,国药准字Z11020188,丸剂
https://item.jd.com/100020824214.html,1.00021E+11,246,同仁堂（TRT）,同仁堂五子衍宗丸,北京同仁堂股份有限公司同仁堂制药厂,五子衍宗丸,60g/瓶/盒*10盒,国药准字Z11020188,丸剂
https://item.jd.com/3782569.html,3782569,158,万艾可,万艾可 枸橼酸西地那非片 25mg*7,辉瑞制药有限公司,枸橼酸西地那非片,25mg*7片,国药准字H20020526,片剂
https://item.jd.com/100014238988.html,1.00014E+11,62,万艾可,万艾可枸橼酸西地那非片,辉瑞制药有限公司,枸橼酸西地那非片,25mg*2片,国药准字H20020526,片剂
https://item.jd.com/100009880362.html,1.0001E+11,49.9,万艾可,万艾可枸橼酸西地那非片,辉瑞制药有限公司,枸橼酸西地那非片,50mg*1片,国药准字H20020527,片剂
https://item.jd.com/100014308357.html,1.00014E+11,536,优思悦,优思悦屈螺酮炔雌醇片(Ⅱ),Bayer Weimar GmbH und Co.KG/包装厂Bayer AG,屈螺酮炔雌醇片 (Ⅱ),28片*4盒,H20140972,片剂
https://item.jd.com/3790183.html,3790183,405,保法止,保法止 非那雄胺片/1mg*7片*12板/盒,AIAC International Pharma LLC/分包装杭州默沙东制药有限公司,非那雄胺片,1mg*7片*12板,国药准字J20150142（H20160325，H20160326）,片剂
https://item.jd.com/100025700132.html,1.00026E+11,1170,保法止,保法止非那雄胺片,AIAC International Pharma LLC/分包装杭州默沙东制药有限公司,非那雄胺片,1mg*7片*12板*3盒,国药准字J20150142（H20160325，H20160326）,片剂
https://item.jd.com/100038547213.html,1.00039E+11,558,妥塞敏,妥塞敏氨甲环酸片,"CMIC CMO CO.,LTD.Shizuoka Plant",氨甲环酸片,0.5g*10片*10板,国药准字HJ20160282,片剂
https://item.jd.com/100020712752.html,1.00021E+11,118,泽普思,泽普思氟比洛芬凝胶贴膏,"MIKASA SEIYAKU CO.,LTD KAKEGAWA FACTORY/分包装：北京泰德制药股份有限公司",氟比洛芬凝胶贴膏,40mg*6贴*2盒,H20160288（国药准字J20160090）,贴膏剂
https://item.jd.com/4886721.html,4886721,65,泽普思,泽普思泽普思 氟比洛芬凝胶贴膏 40mg*6贴,"MIKASA SEIYAKU CO.,LTD KAKEGAWA FACTORY/分包装：北京泰德制药股份有限公司",氟比洛芬凝胶贴膏,40mg*6贴,国药准字J20160090（H20160288）,贴膏剂
https://item.jd.com/100010603722.html,1.00011E+11,60,易孚,易孚重组人表皮生长因子凝胶,桂林华诺威基因药业有限公司,人表皮生长因子凝胶,5万IU(100 μg)/10g,国药准字S20020111,其他
https://item.jd.com/100012953862.html,1.00013E+11,338,万艾可,万艾可枸橼酸西地那非片,辉瑞制药有限公司,枸橼酸西地那非片,50mg*10片,国药准字H20020527,片剂
https://item.jd.com/3073967.html,3073967,385,万艾可,万艾可 枸橼酸西地那非片 0.1g*5片,辉瑞制药有限公司,枸橼酸西地那非片,0.1g*5片,国药准字H20020528,片剂
https://item.jd.com/3541137.html,3541137,84.9,万艾可,万艾可万艾可 枸橼酸西地那非片 50mg*2片,辉瑞制药有限公司,枸橼酸西地那非片,50mg*2片,国药准字H20020527,片剂
https://item.jd.com/100003857958.html,1.00004E+11,146,优思悦,优思悦屈螺酮炔雌醇片(Ⅱ),Bayer Weimar GmbH und Co.KG/包装厂Bayer AG,屈螺酮炔雌醇片 (Ⅱ),28片,H20140972,片剂
https://item.jd.com/100009536853.html,1.0001E+11,1075,必妥维,必妥维比克恩丙诺片,Gilead Sciences Ireland UC,比克恩丙诺片,50mg：200mg：25mg*30片,H20190047,片剂
https://item.jd.com/100054719651.html,1.00055E+11,3105,必妥维,必妥维必妥维比克恩丙诺片,Gilead Sciences Ireland UC,比克恩丙诺片,30片*3盒,H20190047,片剂
https://item.jd.com/100019888305.html,1.0002E+11,2100,必妥维,必妥维比克恩丙诺片,Gilead Sciences Ireland UC,比克恩丙诺片,30片*2盒,H20190047,片剂
https://item.jd.com/100021688616.html,1.00022E+11,124,星鲨,星鲨维生素D3滴剂,国药控股星鲨制药（厦门）有限公司,维生素D滴剂,400单位*10粒*3板*5盒,国药准字H35021450,滴剂
https://item.jd.com/100021697784.html,1.00022E+11,99,星鲨,星鲨维生素D滴剂（胶囊型）,国药控股星鲨制药（厦门）有限公司,维生素D滴剂,400单位*12粒*2板*5,国药准字H35021450,滴剂
https://item.jd.com/100016227624.html,1.00016E+11,45,星鲨,星鲨维生素D滴剂（胶囊型）,国药控股星鲨制药（厦门）有限公司,维生素D滴剂,400单位*10粒*6板,国药准字H35021450,滴剂
https://item.jd.com/100021688598.html,1.00022E+11,99,星鲨,星鲨维生素D滴剂（胶囊型）,国药控股星鲨制药(厦门)有限公司,维生素D滴剂,40OIU*10粒*6板*2盒,国药准字H35021450,滴剂
https://item.jd.com/100032031008.html,1.00032E+11,149,星鲨,星鲨维生素D滴剂（胶囊型）,国药控股星鲨制药（厦门）有限公司,维生素D滴剂,400单位*10粒*3板*6盒,国药准字H35021450,滴剂
https://item.jd.com/3130265.html,3130265,308,必利劲,必利劲必利劲 盐酸达泊西汀片 30mg*6片,Menarini-Von Heyden GmbH,盐酸达泊西汀片,30mg*6片,H20150563,片剂
https://item.jd.com/3560752.html,3560752,169,必利劲,必利劲必利劲 盐酸达泊西汀片 30mg*3片,Menarini-Von Heyden GmbH,盐酸达泊西汀片,30mg*3片,H20150563,片剂
https://item.jd.com/100013114042.html,1.00013E+11,318,必利劲,必利劲盐酸达泊西汀片,Menarini-Von Heyden GmbH,盐酸达泊西汀片,30mg*3片/盒*2盒,H20150563,片剂
https://item.jd.com/100020049520.html,1.0002E+11,477,必利劲,必利劲盐酸达泊西汀片,Menarini-Von Heyden GmbH,盐酸达泊西汀片,30mg*3片/盒*3盒,H20150563,片剂
https://item.jd.com/100011462150.html,1.00011E+11,485,唯散宁（Visanne）,唯散宁地诺孕素片,Bayer Weimar GmbH und Co. KG,地诺孕素片,2mg*28片,H20180090,片剂
https://item.jd.com/100023002952.html,1.00023E+11,64.23,洛芙,洛芙联苯苄唑溶液,江苏知原药业股份有限公司,联苯苄唑溶液,25毫升：250毫克*60ml*3盒,国药准字H20066175,溶液剂
https://item.jd.com/100012792970.html,1.00013E+11,33,洛芙,洛芙联苯苄唑溶液,江苏知原药业股份有限公司,联苯苄唑溶液,25毫升：250毫克*60ml,国药准字H20066175,溶液剂
https://item.jd.com/100012807701.html,1.00013E+11,152,洛芙,洛芙联苯苄唑溶液,江苏知原药业股份有限公司,联苯苄唑溶液,25毫升：250毫克*60ml*5盒,国药准字H20066175,溶液剂
https://item.jd.com/3453496.html,3453496,,迪巧,迪巧儿童维D钙咀嚼片,"A&Z Pharmaceutical,Inc.美国安士制药有限公司/分包装 安士制药（中山)有限公司",碳酸钙D3咀嚼片（Ⅲ）,60片,国药准字J20140153（H20140574）,片剂
https://item.jd.com/3074073.html,3074073,119.8,迪巧,迪巧维D钙咀嚼片,"A&Z Pharmaceutical,Inc（美国安士制药有限公司）/分包装安士制药（中山）有限公司",碳酸钙D3咀嚼片（Ⅲ）,120片,国药准字J20140154（H20140588，H20140589）,片剂
https://item.jd.com/100034152499.html,1.00034E+11,98,迪巧,迪巧维D钙咀嚼片,"A&Z Pharmaceutical,Inc.（美国安士制药有限公司）/分包装安士制药（中山）有限公司",维D钙咀嚼片,90片/瓶,国药准字J20140154(H20140588）,片剂
https://item.jd.com/2354899.html,2354899,60.8,迪巧,迪巧0.75g*30s,"A&Z Pharmaceutical,Inc美国安士制药有限公司/分包装安士制药（中山)有限公司",碳酸钙D3咀嚼片（Ⅲ）,30片,国药准字号J20140153（H20140574，H20140573）,片剂
https://item.jd.com/2354911.html,2354911,66,迪巧,迪巧维D钙咀嚼片,"A&Z Pharmaceutical,Inc美国安士制药有限公司/分包装 安士制药（中山)有限公司",碳酸钙D3咀嚼片（Ⅲ）,"每片含维生素D3 100国际单位（2.5微克）,碳酸钙750毫克（相当于钙300毫克）*60片",国药准字J20140154（H20140590),片剂
https://item.jd.com/100044736813.html,1.00045E+11,294,迪巧,迪巧维D钙咀嚼片,"A&Z Pharmaceutical,Inc（美国安士制药有限公司）/分包装安士制药（中山)有限公司",维D钙咀嚼片,90片/盒*3,国药准字J20140154（H20140588）,片剂
https://item.jd.com/100005557049.html,1.00006E+11,329,迪巧,迪巧维D钙咀嚼片,"A&Z Pharmaceutical,Inc美国安士制药有限公司/分包装 安士制药（中山)有限公司",碳酸钙D3咀嚼片（Ⅲ）,每片含维生素D3 100国际单位（2.5微克），碳酸钙750毫克（相当于钙300毫克）120片*3盒,国药准字J20140154（H20140588）,片剂
https://item.jd.com/4275363.html,4275363,87,内舒拿,内舒拿糠酸莫米松鼻喷雾剂 50ug*140揿,Schering-Plough Labo N.V.,糠酸莫米松鼻喷雾剂,50ug*140揿,H20140100,其他
https://item.jd.com/4257258.html,4257258,62,内舒拿,内舒拿   糠酸莫米松鼻喷雾剂0.05%*60揿,Schering-Plough Labo N.V.,糠酸莫米松鼻喷雾剂,0.05%*50ug*60揿,H20140100,其他
https://item.jd.com/3119481.html,3119481,53,京都念慈菴,京都念慈菴蜜炼川贝枇杷膏,京都念慈菴总厂有限公司,京都念慈菴蜜炼川贝枇杷膏,300ml,ZC20160006,煎膏剂
https://item.jd.com/3116833.html,3116833,33.8,京都念慈菴,京都念慈菴蜜炼川贝枇杷膏,京都念慈菴总厂有限公司,京都念慈菴蜜炼川贝枇杷膏,150ml,ZC20160005,煎膏剂
https://item.jd.com/4931547.html,4931547,22.9,京都念慈菴,京都念慈菴京都念慈菴蜜炼川贝枇杷膏75ml,京都念慈菴总厂有限公司,京都念慈菴蜜炼川贝枇杷膏,75ml,国药准字ZC20160004,糖浆剂
https://item.jd.com/100008252431.html,1.00008E+11,138,神度,神度5mg*15片*2盒,齐鲁制药（海南）有限公司,他达拉非片,5mg*15片*2盒,国药准字H20193313,片剂
https://item.jd.com/100006840529.html,1.00007E+11,69,神度,神度他达拉非片,齐鲁制药（海南）有限公司,他达拉非片,5mg*15片,国药准字H20193313,片剂
https://item.jd.com/100009882907.html,1.0001E+11,32,千威,神度他达拉非片5mg*7片,齐鲁制药（海南）有限公司,他达拉非片,5mg*7片,国药准字H20193313,片剂
https://item.jd.com/100018239007.html,1.00018E+11,265,速福达,速福达玛巴洛沙韦片,"Shionogi Pharma Co., Ltd./包装厂：Sharp Corporation",玛巴洛沙韦片,40mg*1片,国药准字HJ20210028,片剂
https://item.jd.com/3470636.html,3470636,389,金戈,金戈金戈 枸橼酸西地那非片50mg*20片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,50mg*20片,国药准字H20143255,片剂
https://item.jd.com/3470658.html,3470658,122,金戈,金戈金戈 枸橼酸西地那非片50mg*5片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,50mg*5片,国药准字H20143255,片剂
https://item.jd.com/100013668580.html,1.00014E+11,149,金戈,金戈枸橼酸西地那非片(金戈),广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,50mg*6片,国药准字H20143255,片剂
https://item.jd.com/3083225.html,3083225,31.5,金戈,金戈金戈 枸橼酸西地那非片 50mg*1片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,50mg*1片,国药准字H20143255,片剂
https://item.jd.com/3156378.html,3156378,41,同仁堂（TRT）,同仁堂300丸 每8丸重1.44克,北京同仁堂科技发展股份有限公司制药厂,六味地黄丸（浓缩丸）,300丸*1瓶,国药准字Z19993068,丸剂
https://item.jd.com/100021012698.html,1.00021E+11,205,同仁堂（TRT）,同仁堂5盒装 六味地黄丸300粒,北京同仁堂科技发展股份有限公司制药厂,六味地黄丸（浓缩丸）,300丸*5瓶,国药准字Z19993068,丸剂
https://item.jd.com/100020910090.html,1.00021E+11,398,同仁堂（TRT）,同仁堂10盒装 六味地黄丸300粒,北京同仁堂科技发展股份有限公司制药厂,六味地黄丸（浓缩丸）,300丸*10瓶,国药准字Z19993068,丸剂
https://item.jd.com/100007959450.html,1.00008E+11,198,千白（SIBY）,千白氢醌乳膏,广东人人康药业有限公司,氢醌乳膏,20g：0.4g*20g/支,国药准字H20040088,乳膏剂
https://item.jd.com/3026797.html,3026797,38,美林,美林100毫升,上海强生制药有限公司,布洛芬混悬液,"100ml：2g,100ml",国药准字H19991011,混悬剂
https://item.jd.com/3072885.html,3072885,688,万艾可,万艾可 枸橼酸西地那非片 0.1g*10片,辉瑞制药有限公司,枸橼酸西地那非片,100mg*10片,国药准字H20020528,片剂
https://item.jd.com/100012973440.html,1.00013E+11,488,万艾可,万艾可枸橼酸西地那非片,辉瑞制药有限公司,枸橼酸西地那非片,25mg*7片*4板,国药准字H20020526,片剂
https://item.jd.com/3717535.html,3717535,109,沃丽汀,沃丽汀沃丽汀 卵磷脂络合碘片 1.5mg*60片,第一药品产业株式会社盐滨工厂,卵磷脂络合碘片,1.5mg*60片,国药准字HJ20160151,片剂
https://item.jd.com/5235146.html,5235146,99,金戈,金戈枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,25mg*7片,国药准字H20173089,片剂
https://item.jd.com/100006275333.html,1.00006E+11,268,金戈,金戈枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,25mg*7s*3板,国药准字H20173089,片剂
https://item.jd.com/100011361152.html,1.00011E+11,56,金戈,金戈枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,枸橼酸西地那非片,25mg*3片,国药准字H20173089,片剂
https://item.jd.com/4902106.html,4902106,27,葵花,葵花护肝片,黑龙江葵花药业股份有限公司,护肝片,糖衣片 0.35g*100片,国药准字Z20003336,片剂
https://item.jd.com/4201264.html,4201264,38,可乐必妥,可乐必妥左氧氟沙星片/500MG*4片,第一三共制药(北京)有限公司,左氧氟沙星片,0.5克×4片,国药准字H20040091,片剂
https://item.jd.com/100053448335.html,1.00053E+11,125,同仁堂（TRT）,同仁堂参苓白术丸,北京同仁堂制药有限公司,参苓白术丸,6g*12袋*5盒,国药准字Z11020947,丸剂
https://item.jd.com/100007971707.html,1.00008E+11,29,同仁堂（TRT）,同仁堂参苓白术丸,北京同仁堂制药有限公司,参苓白术丸,6g*12袋,国药准字Z11020947,丸剂
https://item.jd.com/100025194948.html,1.00025E+11,117,达力士,达力士卡泊三醇软膏,LEO Laboratories Limited,卡泊三醇软膏,30g：1.50mg 30g/支,国药准字HJ20160069,其他
https://item.jd.com/3513266.html,3513266,49,耐信,耐信艾司奥美拉唑镁肠溶片,阿斯利康制药有限公司,艾司奥美拉唑镁肠溶片,20mg*7片/板/盒,国药准字H20046379,片剂
https://item.jd.com/100043179165.html,1.00043E+11,188,耐信,耐信20mg*7片 4盒,AstraZeneca AB/分包装阿斯利康制药有限公司,艾司奥美拉唑镁肠溶片,20mg*7片*4盒,国药准字J20180046（H20181003 H20181005）,片剂
https://item.jd.com/5801205.html,5801205,30,顺尔宁,顺尔宁孟鲁司特钠咀嚼片,Organon Pharma(UK) Limited/分包装杭州默沙东制药有限公司,孟鲁司特钠咀嚼片,5mg*5片,H20181210（国药准字J20130054）,片剂
https://item.jd.com/100011335320.html,1.00011E+11,126,顺尔宁,顺尔宁孟鲁司特钠咀嚼片(顺尔宁),Organon Pharma (UK) Limited (United Kingdom)/分包装 杭州默沙东制药有限公司,孟鲁司特钠咀嚼片,4mg*30片,国药准字J20130053（H20181208）,片剂
https://item.jd.com/4523305.html,4523305,24.5,顺尔宁,顺尔宁孟鲁司特钠咀嚼片,Organon Pharma(UK) Limited(United Kingdom)/分包装厂：杭州默沙东制药有限公司(原：Merck sharp & Dohme Ltd.(U.K)/分包装厂：杭州默沙东制药有限公司),孟鲁司特钠咀嚼片,4mg*5片,H20181208（国药准字J20130053),片剂
https://item.jd.com/100040794775.html,1.00041E+11,189,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%(30ml*1.5g)*30ml*3瓶,国药准字H20010714,酊剂
https://item.jd.com/100007278039.html,1.00007E+11,79,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%(30毫升：1.5g）30毫升/瓶,国药准字H20010714,酊剂
https://item.jd.com/100017966041.html,1.00018E+11,88,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%（10ml：0.5g）10ml*3瓶,国药准字H20010714,酊剂
https://item.jd.com/5327074.html,5327074,108,达力士,达力士卡泊三醇搽剂 30ml*1瓶/盒,LEO Pharma A/S丹麦利奥制药有限公司,卡泊三醇搽剂,0.005%（30ml：1.50mg）*30ml/瓶,国药准字HJ20150664,搽剂
https://item.jd.com/4654508.html,4654508,33,瑞安吉,瑞安吉果糖二磷酸钠口服溶液,北京华靳制药有限公司,果糖二磷酸钠口服溶液,10ml：1g*10支,国药准字H19990353,其他
https://item.jd.com/5729760.html,5729760,22.8,瑞安吉,瑞安吉果糖二磷酸钠口服溶液,北京华靳制药有限公司,果糖二磷酸钠口服溶液,10ml：1g*6支/盒,国药准字H19990353,其他
https://item.jd.com/3277153.html,3277153,35,希舒美,希舒美阿奇霉素干混悬剂 0.1g*6袋,辉瑞制药有限公司,阿奇霉素干混悬剂,0.1g*6袋,国药准字H10960112,混悬剂
